# rc2_kT  	rc2_diff   	rc12_kT   	rc12_diff
          	          	          	
1.0000e+00	-0.0048513	1.0000e+00	0.0116391
1.1000e+00	-0.00508708	4.0000e-01	0.00236456
1.2000e+00	-0.00377678	5.0000e-01	-0.00467396
1.3000e+00	-0.00394412	5.5000e-01	-0.0286643
4.0000e-01	-0.0204892	6.0000e-01	-0.0280909
5.0000e-01	-0.0122443	7.0000e-01	-0.0251931
6.0000e-01	-0.00980296	8.0000e-01	-0.0221675
7.0000e-01	-0.00691064	9.0000e-01	-0.0196607
8.0000e-01	-0.00601478	          	
9.0000e-01	-0.00510978	          	
