# LJ_rc3_VS_kT	LJ_rc3_VS_c   	LJ_rc3_LS_kT  	LJ_rc3_LS_c   	LJ_rc4_VS_kT  	LJ_rc4_VS_c   	LJ_rc4_LS_kT  	LJ_rc4_LS_c   	WHDF_rc2_VS_kT	WHDF_rc2_VS_c 	WHDF_rc2_LS_kT	WHDF_rc2_LS_c 	WHDF_rc12_kT  	WHDF_rc12_c   	
5.00000000e-01	9.00203591e-06	7.00000000e-01	1.27613378e-04	5.00000000e-01	8.85759731e-06	7.00000000e-01	6.51318080e-05	4.00000000e-01	5.63869500e-06	7.00000000e-01	5.39081858e-04	3.00000000e-01	-1.19138798e-05
5.20000000e-01	8.12717323e-06	7.20000000e-01	1.63341592e-04	5.20000000e-01	9.19048738e-06	7.20000000e-01	1.12946859e-04	4.20000000e-01	4.75524370e-06	7.20000000e-01	6.07580931e-04	3.20000000e-01	-5.48627951e-06
5.40000000e-01	7.16487086e-06	7.40000000e-01	2.02045951e-04	5.40000000e-01	8.18521058e-06	7.40000000e-01	1.43723288e-04	4.40000000e-01	4.07713473e-06	7.40000000e-01	6.44190008e-04	3.40000000e-01	-2.38212965e-06
5.60000000e-01	6.35730128e-06	7.60000000e-01	2.20595006e-04	5.60000000e-01	7.30298746e-06	7.60000000e-01	1.77416815e-04	4.60000000e-01	3.66586979e-06	7.60000000e-01	6.66149545e-04	3.60000000e-01	-9.47532476e-07
5.80000000e-01	5.68386789e-06	7.80000000e-01	2.37967375e-04	5.80000000e-01	6.54551723e-06	7.80000000e-01	1.95317664e-04	4.80000000e-01	3.13994234e-06	7.80000000e-01	6.81691911e-04	3.80000000e-01	-2.02602082e-07
6.00000000e-01	5.23485998e-06	8.00000000e-01	2.50398569e-04	6.00000000e-01	5.85887183e-06	8.00000000e-01	2.10698507e-04	5.00000000e-01	2.84026235e-06	8.00000000e-01	6.83519461e-04	4.00000000e-01	3.58174049e-07
6.20000000e-01	6.48610749e-06	8.20000000e-01	2.62003080e-04	6.20000000e-01	5.16250001e-06	8.20000000e-01	2.22390170e-04	5.20000000e-01	3.26254368e-06	8.20000000e-01	6.83285720e-04	4.20000000e-01	1.00835915e-06
6.40000000e-01	9.83329312e-06	8.40000000e-01	2.70251535e-04	6.40000000e-01	5.63772671e-06	8.40000000e-01	2.33096874e-04	5.40000000e-01	5.39448001e-06	8.40000000e-01	6.69724760e-04	4.40000000e-01	2.03260847e-06
6.60000000e-01	1.55071697e-05	8.60000000e-01	2.77938537e-04	6.60000000e-01	8.00891594e-06	8.60000000e-01	2.41244481e-04	5.60000000e-01	9.53332591e-06	8.60000000e-01	6.53738419e-04	4.60000000e-01	3.85799974e-06
6.80000000e-01	2.44713506e-05	8.80000000e-01	2.81775961e-04	6.80000000e-01	1.22647611e-05	8.80000000e-01	2.48282618e-04	5.80000000e-01	1.63820737e-05	8.80000000e-01	6.28544525e-04	4.80000000e-01	6.93149730e-06
7.00000000e-01	3.81286172e-05	9.00000000e-01	2.83168838e-04	7.00000000e-01	1.90949628e-05	9.00000000e-01	2.52787498e-04	6.00000000e-01	2.74319505e-05	9.00000000e-01	6.04744681e-04	5.00000000e-01	1.17950528e-05
7.20000000e-01	5.86795808e-05	9.20000000e-01	2.83667073e-04	7.20000000e-01	2.93975952e-05	9.20000000e-01	2.55044019e-04	6.20000000e-01	4.49857261e-05	9.20000000e-01	5.77843100e-04	5.05000000e-01	1.33964358e-05
7.40000000e-01	8.92354525e-05	9.40000000e-01	2.83127748e-04	7.40000000e-01	4.47706656e-05	9.40000000e-01	2.55689308e-04	6.40000000e-01	7.18287975e-05	9.40000000e-01	5.49738598e-04	5.10000000e-01	1.53509637e-05
7.60000000e-01	1.32989676e-04	9.60000000e-01	2.80216663e-04	7.60000000e-01	6.80309388e-05	9.60000000e-01	2.56003120e-04	6.60000000e-01	1.12480401e-04	9.60000000e-01	5.20025891e-04	5.15000000e-01	1.51805356e-05
7.80000000e-01	1.98455453e-04	9.80000000e-01	2.77420213e-04	7.80000000e-01	1.01343296e-04	9.80000000e-01	2.53280676e-04	6.80000000e-01	1.72835502e-04	9.80000000e-01	4.88921086e-04	5.20000000e-01	1.71417588e-05
8.00000000e-01	2.93965799e-04	1.00000000e+00	2.72434722e-04	8.00000000e-01	1.48689658e-04	1.00000000e+00	2.51508885e-04	7.00000000e-01	2.60412350e-04	1.00000000e+00	4.62316380e-04	5.25000000e-01	1.94097815e-05
8.20000000e-01	4.35689282e-04	1.02000000e+00	2.67699435e-04	8.20000000e-01	2.19749002e-04	1.02000000e+00	2.48024337e-04	7.20000000e-01	3.90350464e-04	1.02000000e+00	4.31597499e-04	5.30000000e-01	2.18014591e-05
8.40000000e-01	6.50967022e-04	1.04000000e+00	2.61698626e-04	8.40000000e-01	3.23460820e-04	1.04000000e+00	2.43343897e-04	7.40000000e-01	5.79765096e-04	1.04000000e+00	4.05659502e-04	5.35000000e-01	2.44329464e-05
8.60000000e-01	9.82746748e-04	1.06000000e+00	2.54514188e-04	8.60000000e-01	4.68965560e-04	1.06000000e+00	2.38783066e-04	7.60000000e-01	8.58925387e-04	1.06000000e+00	3.76269712e-04	5.40000000e-01	2.71863802e-05
8.80000000e-01	1.58547563e-03	1.08000000e+00	2.47744011e-04	8.80000000e-01	7.07495757e-04	1.08000000e+00	2.33335754e-04	7.80000000e-01	1.26558436e-03	1.08000000e+00	3.49928918e-04	5.45000000e-01	3.01914201e-05
              	              	1.10000000e+00	2.41325153e-04	9.00000000e-01	1.07972888e-03	1.10000000e+00	2.26296690e-04	8.00000000e-01	2.52838481e-03	1.10000000e+00	3.27787089e-04	5.50000000e-01	3.29476781e-05
              	              	1.12000000e+00	2.33173730e-04	              	              	1.12000000e+00	2.20475752e-04	              	              	1.12000000e+00	3.04140993e-04	5.55000000e-01	3.58213431e-05
              	              	1.14000000e+00	2.26201821e-04	              	              	1.14000000e+00	2.14243661e-04	              	              	1.14000000e+00	2.81743459e-04	5.60000000e-01	3.85330945e-05
              	              	1.16000000e+00	2.17591740e-04	              	              	1.16000000e+00	2.07967176e-04	              	              	1.16000000e+00	2.61263372e-04	5.65000000e-01	4.14585440e-05
              	              	1.18000000e+00	2.10880886e-04	              	              	1.18000000e+00	2.02799080e-04	              	              	1.18000000e+00	2.41519140e-04	5.70000000e-01	4.42943032e-05
              	              	1.20000000e+00	2.05173866e-04	              	              	1.20000000e+00	1.96050679e-04	              	              	1.20000000e+00	2.25878416e-04	5.75000000e-01	4.70081975e-05
