# me_LJ_rc4_kT	me_LJ_rc4_c   	sim_kT  	sim_kTerr	sim_c   	sim_cerr	mcrae_kT	mcrae_c	singh_kT	singh_c	
7.00000000e-01	6.51318080e-05	7.60e-01	1.32e-02	3.08e-04	7.96e-05	0.99508	-4.3292	0.74950	-5.6223
7.20000000e-01	1.12946859e-04	1.08e+00	1.60e-02	3.00e-04	6.63e-05	1.2479	-6.0250	1.0000	-5.7593
7.40000000e-01	1.43723288e-04	1.53e+00	1.98e-02	2.85e-04	5.50e-05	1.4977	-7.0541	1.2495	-6.0691
7.60000000e-01	1.77416815e-04	2.06e+00	2.50e-02	2.26e-04	4.13e-05	1.7501	-7.7666	1.5000	-7.0280
7.80000000e-01	1.95317664e-04	2.94e+00	3.27e-02	2.54e-04	4.23e-05				
8.00000000e-01	2.10698507e-04	4.22e+00	4.44e-02	2.03e-04	3.24e-05				
8.20000000e-01	2.22390170e-04	6.40e+00	6.40e-02	1.40e-04	2.14e-05				
8.40000000e-01	2.33096874e-04	1.07e+01	1.00e-01	1.49e-04	2.13e-05				
8.60000000e-01	2.41244481e-04	2.00e+01	1.78e-01	1.13e-04	1.55e-05				
8.80000000e-01	2.48282618e-04	4.70e+01	4.00e-01	1.32e-04	1.72e-05				
9.00000000e-01	2.52787498e-04	1.96e+02	1.60e+00	1.01e-04	1.28e-05				
9.20000000e-01	2.55044019e-04								
9.40000000e-01	2.55689308e-04								
9.60000000e-01	2.56003120e-04								
9.80000000e-01	2.53280676e-04								
1.00000000e+00	2.51508885e-04								
1.02000000e+00	2.48024337e-04								
1.04000000e+00	2.43343897e-04								
1.06000000e+00	2.38783066e-04								
1.08000000e+00	2.33335754e-04								
1.10000000e+00	2.26296690e-04								
1.12000000e+00	2.20475752e-04								
1.14000000e+00	2.14243661e-04								
1.16000000e+00	2.07967176e-04								
1.18000000e+00	2.02799080e-04								
1.20000000e+00	1.96050679e-04								
1.22000000e+00	1.90340933e-04								
1.24000000e+00	1.83548966e-04								
1.26000000e+00	1.77384516e-04								
1.28000000e+00	1.71020191e-04								
1.30000000e+00	1.65053115e-04								
1.32000000e+00	1.59811416e-04								
1.34000000e+00	1.53663965e-04								
1.36000000e+00	1.47932347e-04								
1.38000000e+00	1.42433357e-04								
1.40000000e+00	1.38585840e-04								
1.42000000e+00	1.33665491e-04								
1.44000000e+00	1.28748834e-04								
1.46000000e+00	1.23959023e-04								
1.48000000e+00	1.19876782e-04								
1.50000000e+00	1.15511053e-04								
